"State","Gender","Age.Cohort","Fit.Bound","LE"
"Arizona","Total","35-44 years","upr","46.6804303717108"
"Arizona","Total","45-54 years","upr","37.733835065046"
"Arizona","Total","55-64 years","upr","29.1991837174933"
"Arizona","Total","65-74 years","upr","21.5361706023701"
"Arizona","Total","75-84 years","upr","14.3267679282703"
"Arizona","Total","85+ years","upr","8.75642668665659"
"Arkansas","Female","< 1 year","fit","78.9723861787189"
"Arkansas","Female","1-4 years","fit","78.4197337016723"
"Arkansas","Female","5-14 years","fit","74.512403573977"
"Arkansas","Female","15-24 years","fit","64.5984361310969"
"Arkansas","Female","25-34 years","fit","54.9312450001152"
"Arkansas","Female","35-44 years","fit","45.4588913197556"
"Arkansas","Female","45-54 years","fit","36.4086488826712"
"Arkansas","Female","55-64 years","fit","27.9653924165061"
"Arkansas","Female","65-74 years","fit","20.3088047628759"
"Arkansas","Female","75-84 years","fit","13.304178534183"
"Arkansas","Female","85+ years","fit","7.92473568447714"
"Arkansas","Female","< 1 year","lwr","78.5678589489281"
"Arkansas","Female","1-4 years","lwr","78.0403911979529"
"Arkansas","Female","5-14 years","lwr","74.1365926329429"
"Arkansas","Female","15-24 years","lwr","64.224697736415"
"Arkansas","Female","25-34 years","lwr","54.5620952925888"
"Arkansas","Female","35-44 years","lwr","45.0975874849228"
"Arkansas","Female","45-54 years","lwr","36.0638691510231"
"Arkansas","Female","55-64 years","lwr","27.6553754357292"
"Arkansas","Female","65-74 years","lwr","20.0140089124761"
"Arkansas","Female","75-84 years","lwr","13.0708906875912"
"Arkansas","Female","85+ years","lwr","7.67000828291698"
"Arkansas","Female","< 1 year","upr","79.3671457671238"
"Arkansas","Female","1-4 years","upr","78.7920252028184"
"Arkansas","Female","5-14 years","upr","74.8814366892396"
"Arkansas","Female","15-24 years","upr","64.9655045940845"
"Arkansas","Female","25-34 years","upr","55.2938663159613"
"Arkansas","Female","35-44 years","upr","45.8139361050924"
"Arkansas","Female","45-54 years","upr","36.7478600671666"
"Arkansas","Female","55-64 years","upr","28.2717672927599"
"Arkansas","Female","65-74 years","upr","20.6001893577435"
"Arkansas","Female","75-84 years","upr","13.5380237739078"
"Arkansas","Female","85+ years","upr","8.17946308603729"
"Arkansas","Male","< 1 year","fit","73.3387711329894"
"Arkansas","Male","1-4 years","fit","72.885778008298"
"Arkansas","Male","5-14 years","fit","68.9853229409953"
"Arkansas","Male","15-24 years","fit","59.1015625176704"
"Arkansas","Male","25-34 years","fit","49.8679328211957"
"Arkansas","Male","35-44 years","fit","40.9304683443751"
"Arkansas","Male","45-54 years","fit","32.3254369153508"
"Arkansas","Male","55-64 years","fit","24.2976165639991"
"Arkansas","Male","65-74 years","fit","17.7176268004982"
"Arkansas","Male","75-84 years","fit","11.8879247010028"
"Arkansas","Male","85+ years","fit","7.57229215677036"
"Arkansas","Male","< 1 year","lwr","72.9253037716396"
"Arkansas","Male","1-4 years","lwr","72.503234388368"
"Arkansas","Male","5-14 years","lwr","68.6058108594352"
"Arkansas","Male","15-24 years","lwr","58.725202481582"
"Arkansas","Male","25-34 years","lwr","49.4984080559474"
"Arkansas","Male","35-44 years","lwr","40.5701642574256"
"Arkansas","Male","45-54 years","lwr","31.9885312281506"
"Arkansas","Male","55-64 years","lwr","23.9982102181698"
"Arkansas","Male","65-74 years","lwr","17.4570432804278"
"Arkansas","Male","75-84 years","lwr","11.7078967582606"
"Arkansas","Male","85+ years","lwr","7.33516321935805"
"Arkansas","Male","< 1 year","upr","73.7405548136516"
"Arkansas","Male","1-4 years","upr","73.2599941799551"
"Arkansas","Male","5-14 years","upr","69.3567001220631"
"Arkansas","Male","15-24 years","upr","59.4699698506038"
"Arkansas","Male","25-34 years","upr","50.2296057841466"
"Arkansas","Male","35-44 years","upr","41.2830419922345"
"Arkansas","Male","45-54 years","upr","32.6555218079899"
"Arkansas","Male","55-64 years","upr","24.5919629671964"
"Arkansas","Male","65-74 years","upr","17.9742895591717"
"Arkansas","Male","75-84 years","upr","12.0688203943678"
"Arkansas","Male","85+ years","upr","7.80942109418265"
"Arkansas","Total","< 1 year","fit","76.1225804829523"
"Arkansas","Total","1-4 years","fit","75.6237122075984"
"Arkansas","Total","5-14 years","fit","71.7202515083973"
"Arkansas","Total","15-24 years","fit","61.8226178677102"
"Arkansas","Total","25-34 years","fit","52.3885423529415"
"Arkansas","Total","35-44 years","fit","43.2005835232673"
"Arkansas","Total","45-54 years","fit","34.387175018563"
"Arkansas","Total","55-64 years","fit","26.1686765251395"
"Arkansas","Total","65-74 years","fit","19.0781092191924"
"Arkansas","Total","75-84 years","fit","12.6669437055863"
"Arkansas","Total","85+ years","fit","7.79287499893767"
"Arkansas","Total","< 1 year","lwr","75.712725874297"
"Arkansas","Total","1-4 years","lwr","75.2414931672007"
"Arkansas","Total","5-14 years","lwr","71.3412944076681"
"Arkansas","Total","15-24 years","lwr","61.4462787192413"
"Arkansas","Total","25-34 years","lwr","52.0183221410125"
"Arkansas","Total","35-44 years","lwr","42.8396123318957"
"Arkansas","Total","45-54 years","lwr","34.0462131523874"
"Arkansas","Total","55-64 years","lwr","25.8645001011134"
"Arkansas","Total","65-74 years","lwr","18.7989073026521"
"Arkansas","Total","75-84 years","lwr","12.459045061754"
"Arkansas","Total","85+ years","lwr","7.54799938814895"
"Arkansas","Total","< 1 year","upr","76.5218651341322"
"Arkansas","Total","1-4 years","upr","75.9982954124287"
"Arkansas","Total","5-14 years","upr","72.0918001772607"
"Arkansas","Total","15-24 years","upr","62.1916923983701"
"Arkansas","Total","25-34 years","upr","52.7516343458563"
"Arkansas","Total","35-44 years","upr","43.5546513323545"
"Arkansas","Total","45-54 years","upr","34.7220340074108"
"Arkansas","Total","55-64 years","upr","26.4686451139141"
"Arkansas","Total","65-74 years","upr","19.3536525775189"
"Arkansas","Total","75-84 years","upr","12.8756152817966"
"Arkansas","Total","85+ years","upr","8.0377506097264"
"California","Female","< 1 year","fit","84.4782148555414"
"California","Female","1-4 years","fit","83.7552266860607"
"California","Female","5-14 years","fit","79.7955138043704"
"California","Female","15-24 years","fit","69.8604972024445"
"California","Female","25-34 years","fit","60.098967790839"
"California","Female","35-44 years","fit","50.4272645622329"
"California","Female","45-54 years","fit","40.9224785132508"
"California","Female","55-64 years","fit","31.7958801852185"
"California","Female","65-74 years","fit","23.2412203751108"
"California","Female","75-84 years","fit","15.2785191555135"
"California","Female","85+ years","fit","9.1126772557419"
"California","Female","< 1 year","lwr","83.9778859765818"
"California","Female","1-4 years","lwr","83.2835088514555"
"California","Female","5-14 years","lwr","79.3282546890089"
"California","Female","15-24 years","lwr","69.3952449563186"
"California","Female","25-34 years","lwr","59.6440023876369"
"California","Female","35-44 years","lwr","49.979101330067"
"California","Female","45-54 years","lwr","40.4844088254945"
"California","Female","55-64 years","lwr","31.3734412855347"
"California","Female","65-74 years","lwr","22.8168053083873"
"California","Female","75-84 years","lwr","14.8905242642485"
