"State","Gender","Age.Cohort","Fit.Bound","LE"
"Arizona","Female","15-24 years","lwr","65.8120116808912"
"Arizona","Female","25-34 years","lwr","56.1508785927204"
"Arizona","Female","35-44 years","lwr","46.7854934757329"
"Arizona","Female","45-54 years","lwr","37.5886109301525"
"Arizona","Female","55-64 years","lwr","28.8668281822724"
"Arizona","Female","65-74 years","lwr","20.853273019891"
"Arizona","Female","75-84 years","lwr","13.3671527823834"
"Arizona","Female","85+ years","lwr","7.52964357649532"
"Arizona","Female","< 1 year","upr","81.2139083242428"
"Arizona","Female","1-4 years","upr","80.5489198832911"
"Arizona","Female","5-14 years","upr","76.6274846601084"
"Arizona","Female","15-24 years","upr","66.7256442552628"
"Arizona","Female","25-34 years","upr","57.054957326649"
"Arizona","Female","35-44 years","upr","47.6515751562142"
"Arizona","Female","45-54 years","upr","38.4293661805772"
"Arizona","Female","55-64 years","upr","29.6358180214454"
"Arizona","Female","65-74 years","upr","21.5695354001049"
"Arizona","Female","75-84 years","upr","13.9812559194873"
"Arizona","Female","85+ years","upr","8.02793589631316"
"Arizona","Male","< 1 year","fit","74.4614358901348"
"Arizona","Male","1-4 years","fit","73.8770483955546"
"Arizona","Male","5-14 years","fit","69.9791237840447"
"Arizona","Male","15-24 years","fit","60.0838037714526"
"Arizona","Male","25-34 years","fit","51.0340905673973"
"Arizona","Male","35-44 years","fit","42.306312463946"
"Arizona","Male","45-54 years","fit","33.7454175255011"
"Arizona","Male","55-64 years","fit","25.7084596469491"
"Arizona","Male","65-74 years","fit","18.849511029839"
"Arizona","Male","75-84 years","fit","12.4669342362112"
"Arizona","Male","85+ years","fit","7.703426124197"
"Arizona","Male","< 1 year","lwr","73.9368137319132"
"Arizona","Male","1-4 years","lwr","73.4017689596521"
"Arizona","Male","5-14 years","lwr","69.5121641041929"
"Arizona","Male","15-24 years","lwr","59.6188276505583"
"Arizona","Male","25-34 years","lwr","50.5856622610535"
"Arizona","Male","35-44 years","lwr","41.8799048522034"
